Isimler,Soyisimler,TelefonTuru,Departman,Sehir,DogumTarihi,Maas,Telefon,mail,calisanid
EMİNE,KAYA,Türk Telekom,Yazılım Geliştirme,Kocaeli,11 Nisan 1986,8264,5538114088,eminekaya@hotmail.com,0502
MURAT,PEKGÖZ,Türk Telekom,Yazılım Geliştirme,İstanbul,04 Ekim 1975,10369,5076701125,muratpekgöz@yahoo.com,0503
ATAKAN,DEMİR,Türk Telekom,Yazılım Geliştirme,Ankara,06 Temmuz 1983,8346,5063779636,atakan_demir@gmail.com,0504
REFİK,OLMAZ,Vodafone,Mali İşler,İstanbul,27 Temmuz 1990,5882,5458027380,refik_olmaz@yahoo.com,0505
MUSTAFA,SEVİNÇ,Türk Telekom,Yazılım Geliştirme,Ankara,05 Mart 1990,4725,5066002708,mustafasevinç@gmail.com,0506
ÖZGÜR,MERHAMETSİZ,Sabit,Yazılım Geliştirme,Bursa,09 Temmuz 1986,8341,2245254718,özgürmerhametsiz@gmail.com,0507
İKLİL,ÇOBANOĞLU,Türk Telekom,Müşteri İlişkileri ve Satış,Bursa,30 Eylül 1986,8759,5548564315,çobanoğlu.iklil@hotmail.com,0508
ZÜHAL,ŞİMŞEK,Türk Telekom,Yazılım Geliştirme,Bursa,11 Ekim 1981,11814,5537541669,zühal.şimşek@hotmail.com,0509
MEHTAP,BİNNETOĞLU,Vodafone,Yazılım Geliştirme,İstanbul,09 Nisan 1979,7827,5482170858,mehtapbinnetoğlu@hotmail.com,0510
DENİZ,ÖĞÜTMEN,Türkcell,Mali İşler,Ankara,24 Nisan 1991,4299,5315450728,öğütmendeniz@yandex.com,0511
ÜMİT,ÇINKIR,Vodafone,Yazılım Geliştirme,Ankara,17 Kasım 1989,4824,5414122288,ümit.çinkir@yahoo.com,0512
MEHMET,CAMCI,Vodafone,Müşteri İlişkileri ve Satış,Ankara,12 Nisan 1977,13161,5415397340,camcimehmet@hotmail.com,0513
VOLKAN,YAZAK,Vodafone,İnsan Kaynakları,İstanbul,27 Şubat 1979,10610,5412289710,yazak.volkan@yandex.com,0514
İLKNUR,NİZAM,Vodafone,Yazılım Geliştirme,Ankara,17 Şubat 1988,5129,5485501066,ilknur.nizam@yandex.com,0515
SELÇUK,TÜRKOĞLU,Türk Telekom,Müşteri İlişkileri ve Satış,Kocaeli,21 Eylül 1978,10322,5074930457,türkoğlu.selçuk@yandex.com,0516
ÖZLEM,DEMİRKOL,Türk Telekom,Mali İşler,Ankara,10 Aralık 1992,4030,5521124274,özlemdemirkol@hotmail.com,0517
GÖKHAN,AKSAKAL,Sabit,Yazılım Geliştirme,Bursa,28 Aralık 1993,7994,2258047352,gökhan_aksakal@gmail.com,0518
METE,AKIN,Vodafone,Müşteri İlişkileri ve Satış,Kocaeli,19 Ağustos 1981,11019,5477659145,akin_mete@gmail.com,0519
HÜMEYRA,BOZOĞLAN,Türk Telekom,Yönetim,Ankara,19 Haziran 1996,5606,5529181121,bozoğlan.hümeyra@hotmail.com,0520
PAPATYA,DEĞİRMENCİ,Vodafone,Yazılım Geliştirme,Bursa,18 Aralık 1976,10393,5423138034,değirmenci.papatya@gmail.com,0521
LEVENT,AYMAN,Vodafone,Mali İşler,İstanbul,22 Nisan 1986,6090,5451640347,levent.ayman@yandex.com,0522
FADİME,SAÇLI,Türk Telekom,Yazılım Geliştirme,İstanbul,20 Ocak 1974,11126,5564789333,saçli.fadime@hotmail.com,0523
ERSEN,KARAKILIÇ,Vodafone,Yazılım Geliştirme,Ankara,18 Mayıs 1982,11372,5465362388,karakiliçersen@gmail.com,0524
ŞULE,BAKANAY,Türk Telekom,Müşteri İlişkileri ve Satış,Bursa,16 Mart 1985,6112,5535036540,şule.bakanay@gmail.com,0525
MELİA,KARAKÖSE,Türk Telekom,Mali İşler,İstanbul,25 Şubat 1988,7358,5558373668,meliakaraköse@gmail.com,0526
ŞERMİN,GÜVEN,Türk Telekom,Yazılım Geliştirme,İstanbul,23 Nisan 1971,18199,5533881756,güven.şermin@yandex.com,0527
AYLİA,YEŞİLOVA,Sabit,Yazılım Geliştirme,İstanbul,20 Şubat 1988,7694,2177555216,aylia.yeşilova@yandex.com,0528
AHMET,EŞKAZAN,Vodafone,Yazılım Geliştirme,İstanbul,24 Şubat 1993,6716,5482109157,ahmeteşkazan@hotmail.com,0529
VEDAT,GERDAN,Türk Telekom,Müşteri İlişkileri ve Satış,İstanbul,10 Aralık 1989,3036,5518560283,vedatgerdan@yahoo.com,0530
HALUK,MUMCUOĞLU,Türk Telekom,Yazılım Geliştirme,İstanbul,31 Mayıs 1974,12727,5515245428,mumcuoğlu.haluk@yandex.com,0531
SEZGİN,VATANSEVER,Vodafone,Yazılım Geliştirme,İstanbul,25 Temmuz 1981,9852,5413300445,sezginvatansever@hotmail.com,0532
ZEHRA,PAKÖZ,Vodafone,Yazılım Geliştirme,Ankara,14 Haziran 1989,5028,5491949068,paköz_zehra@hotmail.com,0533
VOLKAN,ATMIŞ,Türk Telekom,Yazılım Geliştirme,Bursa,28 Ekim 1985,6333,5512122439,volkan.atmiş@hotmail.com,0534
ÜNSAL,AKÇALI,Vodafone,Yazılım Geliştirme,Kocaeli,30 Mart 1987,7271,5442849745,akçaliünsal@hotmail.com,0535
KORAY,FAKIOĞLU,Türk Telekom,Yazılım Geliştirme,Kocaeli,20 Eylül 1986,5347,5562881891,fakioğlukoray@yandex.com,0536
GÜLŞAH,YENİDÜNYA,Vodafone,Yazılım Geliştirme,Bursa,10 Haziran 1993,6984,5439259870,yenidünyagülşah@yandex.com,0537
HİCRAN,ANIK,Vodafone,İnsan Kaynakları,İstanbul,07 Mayıs 1983,9145,5431856528,hicran_anik@yandex.com,0538
YUSUF,KÖSEOĞLU,Türkcell,Yazılım Geliştirme,Bursa,13 Nisan 1978,12129,5314198596,yusufköseoğlu@yandex.com,0539
YUSUF,SONAY,Türk Telekom,Yazılım Geliştirme,İstanbul,30 Ekim 1990,7054,5514870298,yusufsonay@yandex.com,0540
ORHAN,ÇELİKER,Vodafone,Müşteri İlişkileri ve Satış,Kocaeli,10 Ekim 1978,11031,5475167890,orhançeliker@gmail.com,0541
FÜSUN,ÖZDEMİRKIRAN,Türk Telekom,Yönetim,Kocaeli,08 Aralık 1989,7836,5071458774,özdemirkiran.füsun@yahoo.com,0542
ÖZLEM,ÇELİK,Türk Telekom,Mali İşler,İstanbul,02 Ocak 1979,7475,5516179815,özlemçelik@hotmail.com,0543
MEHMET,KÖSE,Türk Telekom,İnsan Kaynakları,İstanbul,04 Eylül 1990,6485,5059091555,mehmet.köse@yandex.com,0544
SERKAN,AKIN,Türk Telekom,Yazılım Geliştirme,İstanbul,01 Nisan 1987,9496,5559710985,akinserkan@yandex.com,0545
İKRAM,DURÇ,Türk Telekom,Yazılım Geliştirme,İstanbul,14 Mayıs 1989,7955,5066595199,durçikram@hotmail.com,0546
ÜLKÜHAN,İNER,Vodafone,Yazılım Geliştirme,Kocaeli,14 Eylül 1981,10972,5487549864,ülkühan.iner@gmail.com,0547
NUH,BEREKATOĞLU,Türk Telekom,Yazılım Geliştirme,Ankara,03 Mayıs 1988,7472,5077590095,nuhberekatoğlu@yandex.com,0548
İSMAİL,DİLLİ,Sabit,Yazılım Geliştirme,İstanbul,28 Haziran 1981,9049,2172856932,ismail.dilli@yandex.com,0549
GÜLŞAH,ELBÜKEN,Vodafone,Yazılım Geliştirme,Kocaeli,21 Ekim 1995,3296,5435018817,gülşah_elbüken@hotmail.com,0550
AYKUT,BAHÇECİ,Türk Telekom,Yazılım Geliştirme,Ankara,27 Haziran 1993,7437,5077305226,aykutbahçeci@yahoo.com,0551
NEŞE,BÜLBÜL,Türk Telekom,Mali İşler,Ankara,23 Eylül 1987,6822,5524636419,neşe.bülbül@yandex.com,0552
NEZAKET,KADI,Vodafone,Yazılım Geliştirme,İstanbul,28 Ağustos 1970,12411,5412143924,kadi.nezaket@hotmail.com,0553
MUHAMMET,IŞIK,Vodafone,Yazılım Geliştirme,İstanbul,16 Eylül 1973,16676,5487670061,muhammet.işik@gmail.com,0554
HANDAN,YÜCETÜRK,Vodafone,Yazılım Geliştirme,Ankara,15 Kasım 1984,8422,5449245300,yücetürk.handan@gmail.com,0555
ATİLLA,BULUR,Vodafone,Yazılım Geliştirme,İstanbul,26 Şubat 1987,5321,5472141361,buluratilla@hotmail.com,0556
AYŞEGÜL,ÖZİŞ,Vodafone,Yazılım Geliştirme,İstanbul,11 Eylül 1976,10399,5446199949,özişayşegül@outlook.com,0557
PINAR,ULUBAŞOĞLU,Türk Telekom,Yazılım Geliştirme,Bursa,11 Haziran 1995,4874,5068661724,pinarulubaşoğlu@yahoo.com,0558
ARZU,AKŞAHİN,Vodafone,Yazılım Geliştirme,İstanbul,09 Aralık 1987,9892,5454898708,akşahin.arzu@gmail.com,0559
NEŞE,KARPUZ,Türk Telekom,Yazılım Geliştirme,İstanbul,18 Haziran 1993,7778,5532181050,karpuz.neşe@hotmail.com,0560
CEYHAN,YABUL,Türk Telekom,Yönetim,Ankara,09 Temmuz 1976,17684,5538118349,yabulceyhan@yahoo.com,0561
HASAN,GÖKSOY,Vodafone,Yazılım Geliştirme,İstanbul,01 Kasım 1973,17714,5414904171,göksoy.hasan@hotmail.com,0562
MEHMET,ÜNAL,Türk Telekom,Yazılım Geliştirme,İstanbul,17 Ağustos 1977,12403,5539773485,ünalmehmet@gmail.com,0563
SALİH,IŞIK,Sabit,Yazılım Geliştirme,Ankara,04 Ekim 1989,7398,3122806862,salih.işik@yandex.com,0564
FERDA,KÖKSAL,Türk Telekom,İnsan Kaynakları,İstanbul,22 Kasım 1991,4367,5512911435,ferda.köksal@yandex.com,0565
DİLEK,TEKİŞ,Türk Telekom,Mali İşler,Ankara,18 Aralık 1987,7121,5518986597,dilek_tekiş@gmail.com,0566
AYHAN,AKSOY,Sabit,Müşteri İlişkileri ve Satış,İstanbul,19 Ocak 1987,6763,2165228115,ayhan.aksoy@yandex.com,0567
HASAN,BAŞYURT,Türkcell,Yazılım Geliştirme,İstanbul,24 Mart 1991,7934,5397901425,hasan.başyurt@hotmail.com,0568
SUNA,YURDSEVEN,Türk Telekom,Müşteri İlişkileri ve Satış,Bursa,18 Nisan 1988,6024,5549335091,yurdsevensuna@outlook.com,0569
SELAMİ,ERDEM,Vodafone,Yazılım Geliştirme,Ankara,19 Temmuz 1986,6251,5477101216,selami.erdem@hotmail.com,0570
SÜREYYA,MERDEN,Vodafone,Yazılım Geliştirme,İstanbul,05 Aralık 1969,15127,5483613378,süreyya.merden@yahoo.com,0571
BURCU,KISA,Türkcell,Mali İşler,İstanbul,11 Şubat 1975,8217,5352214366,burcukisa@hotmail.com,0572
CEM,SANHAL,Vodafone,Müşteri İlişkileri ve Satış,Ankara,04 Eylül 1978,13844,5442613139,cem_sanhal@gmail.com,0573
ÇAĞDAŞ,ŞAHİN,Vodafone,İnsan Kaynakları,Kocaeli,19 Ekim 1983,10464,5435296620,çağdaş.şahin@gmail.com,0574
DOĞAN,VATANSEVER,Türk Telekom,Yazılım Geliştirme,İstanbul,14 Eylül 1988,7593,5549514191,vatanseverdoğan@hotmail.com,0575
AHMET,BİLGİ,Türk Telekom,Yazılım Geliştirme,Ankara,10 Nisan 1990,5056,5064557279,ahmetbilgi@gmail.com,0576
HATİCE,KAYABAŞ,Vodafone,Yazılım Geliştirme,Ankara,26 Ağustos 1977,11425,5477990817,kayabaşhatice@yandex.com,0577
HAYRİ,GÜRBOSTAN,Türk Telekom,Yazılım Geliştirme,İstanbul,30 Ekim 1986,9149,5528879907,hayri.gürbostan@yandex.com,0578
GÜHER,BOLAT,Sabit,Yazılım Geliştirme,Kocaeli,05 Şubat 1984,5727,2623426748,bolat.güher@gmail.com,0579
SUNA,KABİL,Sabit,Yazılım Geliştirme,Kocaeli,05 Haziran 1976,12442,2633438361,kabilsuna@hotmail.com,0580
ARZU,DEĞİRMENCİ,Türk Telekom,Yazılım Geliştirme,İstanbul,04 Eylül 1992,6139,5546444713,değirmenci.arzu@hotmail.com,0581
AHMET,TAYYAR,Vodafone,Yazılım Geliştirme,Kocaeli,22 Mart 1973,19231,5432850198,tayyarahmet@gmail.com,0582
AHMET,ŞAHBAZ,Vodafone,Yazılım Geliştirme,Ankara,25 Haziran 1977,12790,5476368770,şahbazahmet@yandex.com,0583
SEMİH,YANCAR,Sabit,Yazılım Geliştirme,İstanbul,24 Ocak 1986,8192,2135268036,semihyancar@yahoo.com,0584
YUSUF,OLGAÇ,Türkcell,Mali İşler,İstanbul,14 Ocak 1976,12502,5327767290,olgaç_yusuf@gmail.com,0585
ALİ,EKİZ,Vodafone,Yazılım Geliştirme,Bursa,11 Ağustos 1985,5114,5418186136,ekiz.ali@yandex.com,0586
ELİF,EREN,Vodafone,Yazılım Geliştirme,İstanbul,01 Haziran 1985,5195,5412219922,elif.eren@hotmail.com,0587
ELİF,MALÇOK,Vodafone,Mali İşler,Ankara,06 Eylül 1987,5838,5428125689,elifmalçok@yahoo.com,0588
YETKİN,KARASU,Türk Telekom,Müşteri İlişkileri ve Satış,İstanbul,04 Aralık 1997,3883,5065605058,yetkin.karasu@yahoo.com,0589
BURAK,KARADAĞ,Türk Telekom,Mali İşler,İstanbul,17 Kasım 1979,8463,5545600435,burak_karadağ@hotmail.com,0590
VEYSEL,TOPRAK,Türk Telekom,Yazılım Geliştirme,Ankara,29 Eylül 1989,4029,5077011679,veysel.toprak@gmail.com,0591
BURCU,SAĞLAM,Türk Telekom,Yazılım Geliştirme,Kocaeli,23 Nisan 1988,8435,5548079969,burcu.sağlam@yandex.com,0592
REFAETTİN,ŞAHİN,Türkcell,Müşteri İlişkileri ve Satış,Kocaeli,28 Ocak 1988,4335,5387232029,şahin_refaettin@yandex.com,0593
AYŞE,KEBAPCILAR,Vodafone,İnsan Kaynakları,İstanbul,15 Mayıs 1994,3689,5413861045,kebapcilarayşe@yandex.com,0594
HÜSEYİN,TATAR,Türk Telekom,Yazılım Geliştirme,Bursa,11 Aralık 1980,7870,5054441158,hüseyintatar@yandex.com,0595
EMİNE,ARSLAN,Sabit,Mali İşler,Ankara,03 Ocak 1985,6421,3138311698,eminearslan@hotmail.com,0596
EBRU,YÜCE,Vodafone,Yazılım Geliştirme,İstanbul,26 Aralık 1981,11934,5471093051,ebruyüce@hotmail.com,0597
ESRA,TOLA,Türk Telekom,Mali İşler,Ankara,24 Mayıs 1987,7082,5079699381,tola.esra@hotmail.com,0598
SAMİ,GÜNGÖR,Türk Telekom,Mali İşler,İstanbul,26 Şubat 1986,5373,5558914670,güngörsami@hotmail.com,0599
MUSTAFA,KARAGÖZ,Türk Telekom,Yazılım Geliştirme,Kocaeli,01 Mayıs 1990,7393,5059026941,mustafa.karagöz@gmail.com,0600
ORHAN,ALTINBOĞA,Türk Telekom,Yazılım Geliştirme,İstanbul,01 Mayıs 1992,7226,5565928129,altinboğaorhan@hotmail.com,0601
HAÇÇE,YENİÇERİ,Türk Telekom,Mali İşler,Ankara,22 Kasım 1985,7553,5058795290,yeniçeri.haççe@hotmail.com,0602
MEHMET,IŞIKALAN,Türkcell,İnsan Kaynakları,İstanbul,01 Temmuz 1987,7008,5384657418,mehmetişikalan@gmail.com,0603
NAZAN,ÖZDEMİR,Türk Telekom,Yazılım Geliştirme,Ankara,05 Mayıs 1993,4308,5064485175,nazanözdemir@gmail.com,0604
TUĞBA,GÜRBÜZ,Türkcell,Mali İşler,Ankara,13 Ağustos 1993,4768,5384794347,tuğbagürbüz@hotmail.com,0605
OĞUZHAN,KURU,Türk Telekom,İnsan Kaynakları,İstanbul,21 Haziran 1979,8517,5556675461,kuruoğuzhan@yandex.com,0606
BERFİN,YURDAM,Türk Telekom,İnsan Kaynakları,İstanbul,21 Ekim 1980,10558,5061698627,yurdamberfin@hotmail.com,0607
ÖZGÜR,KARA,Türk Telekom,Yazılım Geliştirme,İstanbul,22 Mart 1970,13676,5515047986,karaözgür@hotmail.com,0608
CİHAN,ÇETİN,Türkcell,Yazılım Geliştirme,Kocaeli,06 Şubat 1982,7095,5321673872,çetincihan@yandex.com,0609
DERMAN,BAŞARAN,Vodafone,Yazılım Geliştirme,İstanbul,28 Nisan 1988,5217,5447190896,derman.başaran@yandex.com,0610
NİHAL,ŞAHİN,Vodafone,Yazılım Geliştirme,İstanbul,25 Mart 1992,5332,5445445962,şahin.nihal@hotmail.com,0611
IŞIN,ÜREYEN,Türk Telekom,Yazılım Geliştirme,İstanbul,24 Şubat 1990,6307,5059996343,işin.üreyen@yandex.com,0612
HATİCE,IŞIK,Vodafone,Yazılım Geliştirme,Bursa,02 Aralık 1985,8595,5475049845,haticeişik@yandex.com,0613
DİDEM,ÖZTÜRK,Türk Telekom,Mali İşler,İstanbul,02 Şubat 1993,5969,5531888715,öztürkdidem@yahoo.com,0614
SUAT,DOĞAN,Vodafone,Yazılım Geliştirme,Ankara,16 Ocak 1993,5645,5489579054,suatdoğan@yandex.com,0615
SİMENDER,MESCİ,Türk Telekom,Yazılım Geliştirme,Ankara,03 Mayıs 1988,6345,5077101420,simender.mesci@hotmail.com,0616
ADNAN,ORHAN,Türk Telekom,Yazılım Geliştirme,Kocaeli,03 Ekim 1979,11207,5073253244,orhanadnan@yandex.com,0617
SEZİN,VURAL,Vodafone,Yazılım Geliştirme,İstanbul,14 Eylül 1990,4040,5426428400,sezin.vural@hotmail.com,0618
ŞERAFETTİN,EROL,Sabit,Yazılım Geliştirme,İstanbul,14 Aralık 1974,11782,2162586723,erolşerafettin@yandex.com,0619
BERRİN,BALSAK,Türk Telekom,Yazılım Geliştirme,Ankara,11 Aralık 1981,11461,5521237954,balsakberrin@hotmail.com,0620
ÖZGÜR,ÖZDEMİR,Türk Telekom,Mali İşler,İstanbul,10 Ağustos 1975,13662,5549824792,özdemir.özgür@gmail.com,0621
TAYFUR,ÇİFT,Vodafone,Yazılım Geliştirme,Bursa,26 Haziran 1971,14866,5431968984,tayfurçift@hotmail.com,0622
SERHAT,ŞEN,Türk Telekom,Yazılım Geliştirme,İstanbul,05 Eylül 1992,4149,5064044752,şen.serhat@hotmail.com,0623
FUNDA,YAZICI,Türkcell,Mali İşler,Ankara,18 Mayıs 1991,4318,5323935023,fundayazici@hotmail.com,0624
NESLİHAN,BAYRAMOĞLU,Türk Telekom,Yönetim,İstanbul,26 Eylül 1976,16034,5552712687,neslihan.bayramoğlu@yahoo.com,0625
SERVET,GENÇDAL,Vodafone,Yazılım Geliştirme,Kocaeli,24 Ocak 1996,5709,5442923082,servet.gençdal@gmail.com,0626
EMRE,DESTEGÜL,Vodafone,Yazılım Geliştirme,İstanbul,29 Ekim 1987,6602,5427295154,emre.destegül@yandex.com,0627
ORÇUN,ÖZDEMİR,Türk Telekom,Yazılım Geliştirme,İstanbul,14 Nisan 1995,3092,5559342337,özdemirorçun@gmail.com,0628
FATMA,KARÇİN,Türkcell,Yazılım Geliştirme,Ankara,03 Eylül 1972,19223,5377053027,karçinfatma@yandex.com,0629
DERYA,ASLAN,Türk Telekom,Yazılım Geliştirme,İstanbul,04 Nisan 1987,6871,5536872993,derya.aslan@gmail.com,0630
DUYGU,BAZ,Vodafone,Yazılım Geliştirme,İstanbul,07 Şubat 1987,5271,5457536320,duygubaz@hotmail.com,0631
HÜSEYİN,ALTUNTAŞ,Türk Telekom,Yönetim,Ankara,16 Mart 1978,18985,5546953169,altuntaşhüseyin@hotmail.com,0632
AYKUT,ÖZCAN,Vodafone,Yazılım Geliştirme,Kocaeli,30 Haziran 1997,5529,5411324202,özcan.aykut@gmail.com,0633
AYŞE,KIRBAŞ,Türk Telekom,Müşteri İlişkileri ve Satış,Bursa,18 Eylül 1991,5795,5519727257,kirbaşayşe@hotmail.com,0634
SEHER,YILMAZ,Türk Telekom,Yazılım Geliştirme,Ankara,21 Şubat 1979,9281,5521794145,seher.yilmaz@yandex.com,0635
SEDA,KAYMAN,Vodafone,Yazılım Geliştirme,Bursa,04 Ekim 1988,9644,5472899457,seda.kayman@yahoo.com,0636
ESRA,ÇETİN,Vodafone,Mali İşler,İstanbul,10 Mayıs 1987,5197,5464865198,esra.çetin@gmail.com,0637
EVREN,YEŞİLDAĞER,Türk Telekom,Müşteri İlişkileri ve Satış,Ankara,12 Temmuz 1981,7151,5523375702,evren.yeşildağer@yahoo.com,0638
NİLÜFER,YÜKSEL,Vodafone,İnsan Kaynakları,İstanbul,15 Mayıs 1992,6988,5479620367,nilüfer.yüksel@hotmail.com,0639
MURAT,KAYAOĞLU,Sabit,Müşteri İlişkileri ve Satış,Bursa,28 Ağustos 1988,5530,2252141357,kayaoğlu.murat@hotmail.com,0640
YUSUF,KILIÇ,Sabit,Yazılım Geliştirme,İstanbul,12 Ekim 1973,14823,2134674410,yusufkiliç@yandex.com,0641
MUSTAFA,CELTEMEN,Türkcell,Mali İşler,İstanbul,09 Temmuz 1993,5877,5358360581,mustafa.celtemen@yandex.com,0642
GÜNEŞ,GÜNDÜZ,Vodafone,Yazılım Geliştirme,İstanbul,10 Ocak 1985,9908,5414153734,gündüzgüneş@yahoo.com,0643
FATİH,ŞANLIKAN,Sabit,Müşteri İlişkileri ve Satış,İstanbul,28 Mayıs 1988,5756,2132973390,fatih.şanlikan@yandex.com,0644
MEHMET,ÇELİK,Türk Telekom,Yazılım Geliştirme,İstanbul,10 Temmuz 1987,8872,5535600607,mehmetçelik@hotmail.com,0645
ORHAN,ORHAN,Türk Telekom,Yazılım Geliştirme,Bursa,10 Ocak 1987,6143,5536422522,orhanorhan@yahoo.com,0646
PINAR,TANTEKİN,Vodafone,Mali İşler,Ankara,23 Haziran 1995,4801,5421887955,tantekinpinar@hotmail.com,0647
ERHAN,KARAALP,Türk Telekom,Yazılım Geliştirme,Kocaeli,24 Mart 1969,18620,5553614667,karaalperhan@hotmail.com,0648
GÜLDEN,TUNCER,Türkcell,Yazılım Geliştirme,Kocaeli,30 Mayıs 1984,9133,5343280518,gülden_tuncer@hotmail.com,0649
LATİFE,ATASOY,Türk Telekom,Mali İşler,İstanbul,26 Eylül 1984,7866,5058889004,atasoylatife@hotmail.com,0650
SİBEL,DOĞAN,Türk Telekom,Yazılım Geliştirme,Ankara,17 Ekim 1983,10826,5052946342,doğansibel@gmail.com,0651
FATMA,GÖK,Türkcell,İnsan Kaynakları,İstanbul,27 Nisan 1978,14233,5314448351,fatma.gök@hotmail.com,0652
HALİS,ÖZDEMİR,Vodafone,Mali İşler,Ankara,02 Haziran 1993,5212,5469259656,özdemirhalis@hotmail.com,0653
YELDA,ÖZKAN,Türk Telekom,Yazılım Geliştirme,Ankara,11 Haziran 1982,11448,5518365748,yelda.özkan@hotmail.com,0654
ZEHRA,ONAR,Türk Telekom,Yazılım Geliştirme,Kocaeli,29 Haziran 1993,5329,5514984253,onarzehra@yahoo.com,0655
MEHMET,ASOĞLU,Türk Telekom,Yazılım Geliştirme,İstanbul,25 Ocak 1984,7391,5541707602,asoğlu.mehmet@hotmail.com,0656
EMCED,KHALİL,Sabit,Yazılım Geliştirme,İstanbul,30 Aralık 1980,11620,2175868279,emcedkhalil@yandex.com,0657
OKAN,YURDAKÖK,Türkcell,Yazılım Geliştirme,Bursa,11 Eylül 1984,6260,5328445882,yurdakök.okan@yandex.com,0658
ABDULLAH,YILMAZ,Vodafone,Yazılım Geliştirme,Ankara,21 Ağustos 1978,10665,5487639362,abdullahyilmaz@hotmail.com,0659
ÖZLEM,KESKİN,Türkcell,Mali İşler,Ankara,26 Temmuz 1990,5046,5398094781,özlem.keskin@hotmail.com,0660
AYDEMİR,KOÇARSLAN,Vodafone,Yazılım Geliştirme,Bursa,13 Ekim 1997,4846,5472972020,aydemir.koçarslan@yandex.com,0661
FATİH,GÖKALP,Türk Telekom,Mali İşler,İstanbul,02 Eylül 1997,3915,5558405554,gökalpfatih@gmail.com,0662
AYDIN,TUNÇAY,Türk Telekom,Müşteri İlişkileri ve Satış,İstanbul,13 Mayıs 1990,5423,5078746654,aydintunçay@yahoo.com,0663
BENGÜHAN,SÜRMEN,Türk Telekom,Yazılım Geliştirme,Ankara,29 Ağustos 1980,10512,5559677429,bengühan.sürmen@hotmail.com,0664
AHMET,AYDIN,Vodafone,Müşteri İlişkileri ve Satış,Ankara,15 Eylül 1992,5673,5423452926,aydin.ahmet@yandex.com,0665
TOLUNAY,SEVİNGİL,Türk Telekom,Yazılım Geliştirme,Kocaeli,29 Ekim 1980,7311,5066137047,sevingiltolunay@hotmail.com,0666
TUĞRA,GENÇPINAR,Vodafone,Yazılım Geliştirme,İstanbul,14 Nisan 1991,5651,5495549982,tuğragençpinar@yahoo.com,0667
ÖZGÜR,AKKAYA,Vodafone,Yazılım Geliştirme,Ankara,15 Kasım 1986,9758,5466534463,özgür.akkaya@yandex.com,0668
YUSUF,KUSERLİ,Vodafone,Yazılım Geliştirme,Ankara,07 Ağustos 1981,11400,5467005667,yusuf.kuserli@gmail.com,0669
ÖNDER,BOZKURT,Türk Telekom,Yazılım Geliştirme,Kocaeli,28 Nisan 1981,8389,5568820051,bozkurtönder@hotmail.com,0670
BARAN,ŞİMŞEK,Türk Telekom,Yazılım Geliştirme,Ankara,30 Mayıs 1971,14539,5058674895,baran.şimşek@hotmail.com,0671
SEYHAN,YILMAZ,Vodafone,Mali İşler,Ankara,05 Temmuz 1990,5889,5455685824,yilmazseyhan@hotmail.com,0672
ZEKİ,TALAS,Türk Telekom,Yazılım Geliştirme,Kocaeli,04 Eylül 1977,11373,5536203796,talaszeki@hotmail.com,0673
KADİR,ÇEVİKER,Türk Telekom,Yazılım Geliştirme,Ankara,06 Nisan 1996,3193,5549986933,kadirçeviker@yandex.com,0674
MURAT,KAYNAK,Türk Telekom,Mali İşler,İstanbul,20 Nisan 1988,7414,5061845793,muratkaynak@hotmail.com,0675
İHSAN,BAYRAKTAR,Sabit,İnsan Kaynakları,Ankara,28 Ekim 1990,4704,3134278999,ihsanbayraktar@yandex.com,0676
DEMİR,ÇETİNTAŞ,Türk Telekom,Mali İşler,Ankara,17 Mayıs 1998,3455,5522387294,çetintaşdemir@hotmail.com,0677
MUHAMMET,CANTÜRK,Türk Telekom,Müşteri İlişkileri ve Satış,Ankara,30 Ağustos 1988,8850,5537248415,cantürk.muhammet@yandex.com,0678
MUHAMMED,KARADENİZ,Vodafone,Yazılım Geliştirme,İstanbul,18 Ekim 1987,9354,5437124078,karadenizmuhammed@yandex.com,0679
BAHADIR,ALAN,Vodafone,Yazılım Geliştirme,İstanbul,08 Temmuz 1983,7081,5433725871,alan_bahadir@yandex.com,0680
İLHAN,KOYUNCU,Vodafone,Yazılım Geliştirme,Bursa,30 Kasım 1978,11211,5428566324,koyuncuilhan@yandex.com,0681
YILDIRIM,KARTAL,Türk Telekom,Mali İşler,İstanbul,09 Ocak 1986,5990,5526340338,yildirim.kartal@gmail.com,0682
OĞUZ,KAYA,Türk Telekom,Yazılım Geliştirme,İstanbul,14 Aralık 1969,16944,5562148994,kayaoğuz@gmail.com,0683
EFTAL,BAKIRCI,Türk Telekom,Yazılım Geliştirme,İstanbul,30 Haziran 1990,5572,5563635777,bakirci_eftal@gmail.com,0684
GÖKAY,NAR,Vodafone,Yazılım Geliştirme,İstanbul,14 Nisan 1983,7386,5426619542,nar.gökay@yahoo.com,0685
FATİH,ULUSOY,Türk Telekom,Yazılım Geliştirme,İstanbul,09 Mart 1985,9042,5555265962,fatihulusoy@hotmail.com,0686
NURAN,CELİLOĞLU,Türk Telekom,Mali İşler,İstanbul,16 Ekim 1975,14564,5511729870,nuranceliloğlu@hotmail.com,0687
HABİL,YÜCEL,Türkcell,Yazılım Geliştirme,İstanbul,22 Ocak 1989,4131,5354778901,habil_yücel@hotmail.com,0688
